date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:23:11	28042/28042	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618e32b62e960a7027f8ab1b92d62d63%22	https://r.mobirisesite.com/207609/assets/ytplayer/index.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/ytplayer/index.js	(from https://sld6ttpwj3.mobirisesite.com/healingspace.html)
05:23:11	3048/3048	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e0e0a5040f8cff7ab8a12a4a6e800a2%22	https://r.mobirisesite.com/207609/assets/dropdown/js/navbar-dropdown.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/dropdown/js/navbar-dropdown.js	(from https://sld6ttpwj3.mobirisesite.com/healingspace.html)
05:23:12	36283/36283	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f23470f2a460c2e22997f162971b2d1%22	https://r.mobirisesite.com/207609/assets/theme/js/script.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/theme/js/script.js	(from https://sld6ttpwj3.mobirisesite.com/healingspace.html)
05:23:12	25468/25468	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22385866f21466d026cef79ed73d2e93cb%22	https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.eot?f2bix4	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise21e04.eot	(from https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.css)
05:23:12	25280/25280	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a915592fd82d5a2f17cbbc795a6c31e8%22	https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.ttf?f2bix4	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise21e04.ttf	(from https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.css)
05:23:13	25356/25356	---MCZ	200	added ('OK')	application/font-woff	etag:W/%220a7e6a641c103830068ddcebe2ca65ae%22	https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.woff?f2bix4	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise21e04.woff	(from https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.css)
05:23:13	72845/72845	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bac098032ed07737247de19179bf7059%22	https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.svg?f2bix4	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise21e04.svg	(from https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.css)
05:23:14	67330/67330	---M--	200	added ('OK')	image/jpeg	etag:%22b449a39f2aee22f3b9889a12ee0c6168%22	https://r.mobirisesite.com/207609/assets/images/background7.jpg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/background7e6ec.jpg	(from https://r.mobirisesite.com/207609/assets/mobirise/css/mbr-additional.css?v=1NRvG8)
05:23:14	321/321	---MCZ	200	added ('OK')	text/css	etag:W/%22d93b5afc3741add5cd0e2c418e2e2ef4%22	https://r.mobirisesite.com/207609/assets/parallax/jarallax.css	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/parallax/jarallax.css	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:15	83983/83983	---M--	200	added ('OK')	image/jpeg	etag:%22d2b04a6dc683dafbc8404062c4347920%22	https://r.mobirisesite.com/207609/assets/images/img-1909.jpeg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/img-1909e6ec.jpg	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:16	210428/210428	---M--	200	added ('OK')	image/jpeg	etag:%22197d88791357904bffc8d5fff7ae1c2d%22	https://r.mobirisesite.com/207609/assets/images/img-1929.jpeg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/img-1929e6ec.jpg	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:16	41389/41389	---M--	200	added ('OK')	image/jpeg	etag:%226b4f3044d19f1849e5942e38449f7191%22	https://r.mobirisesite.com/207609/assets/images/img-1932.jpeg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/img-1932e6ec.jpg	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:17	19151/19151	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274af8b40aca86a99039d118c4e1f6385%22	https://r.mobirisesite.com/207609/assets/parallax/jarallax.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/parallax/jarallax.js	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:17	224406/224406	---M--	200	added ('OK')	image/jpeg	etag:%2217a45ad6c111cb7f48f048d658067093%22	https://r.mobirisesite.com/207609/assets/images/65749.jpg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/65749e6ec.jpg	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:17	25912/25912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be84fd9a9a215e361e13ff5f882ae4eb%22	https://r.mobirisesite.com/207609/assets/playervimeo/vimeo_player.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/playervimeo/vimeo_player.js	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:18	7110/7110	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc153f8541d34a2e8c18d1af7428aea8%22	https://r.mobirisesite.com/207609/assets/formoid/formoid.min.js	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/formoid/formoid.min.js	(from https://sld6ttpwj3.mobirisesite.com/healingspac.html)
05:23:18	130432/130432	---M--	200	added ('OK')	image/jpeg	etag:%220587a05c34d4408fcac9d09217e1f0ca%22	https://r.mobirisesite.com/207609/assets/images/healing-space-app-logo-.jpeg?v=1NRvG8	C:/My%20Web%20Sites/healing%20space/r.mobirisesite.com/207609/assets/images/healing-space-app-logo-e6ec-2.jpg	(from https://sld6ttpwj3.mobirisesite.com/page3.html)
05:23:18	266/266	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20May%202022%2002:23:18%20GMT	https://r.mobirisesite.com/robots.txt		(from https://r.mobirisesite.com/207609/assets/web/assets/mobirise-icons2/mobirise2.css)
